epoch,train_loss,eval_loss,eval_accuracy,learning_rate
5.0,1.2013277777777778,1.3406493663787842,0.967008797653959,4.450877192982456e-05
10.0,0.13751176470588233,0.2609642744064331,0.9758064516129032,3.953801169590644e-05
15.0,0.0552,0.16843926906585693,0.9750733137829912,3.450877192982456e-05
20.0,0.0325235294117647,0.14644916355609894,0.9714076246334311,2.9538011695906438e-05
25.0,0.019549999999999998,0.12912824749946594,0.9736070381231672,2.4508771929824562e-05
30.0,0.01611764705882353,0.12257684767246246,0.9743401759530792,1.9538011695906432e-05
35.0,0.010138888888888888,0.118021160364151,0.9758064516129032,1.4508771929824563e-05
40.0,0.008658823529411764,0.11483339220285416,0.9794721407624634,9.538011695906433e-06
45.0,0.007094444444444445,0.11421570181846619,0.9802052785923754,4.508771929824561e-06
50.0,0.0052,0.11605073511600494,0.9780058651026393,5.84795321637427e-09
