epoch,eval_loss,eval_accuracy,eval_precision,eval_recall
5.0,0.4312454164028168,0.9582111436950147,0.9566943465031701,0.9564640637140637
10.0,0.21080169081687927,0.9633431085043989,0.9609983072483073,0.9604997779997779
15.0,0.17347341775894165,0.9626099706744868,0.9638478003478004,0.9598893421393423
20.0,0.16681906580924988,0.9618768328445748,0.9614345328161119,0.9574729159729161
25.0,0.15919317305088043,0.9640762463343109,0.9623620916120917,0.9605972545972546
30.0,0.16178826987743378,0.9611436950146628,0.9583656289244523,0.9577083657083657
35.0,0.17151935398578644,0.9574780058651027,0.9582451992451992,0.9541448736448737
40.0,0.16386039555072784,0.9574780058651027,0.9558614348614348,0.9514451381951384
45.0,0.16606999933719635,0.9582111436950147,0.9566013255750098,0.953052281052281
50.0,0.16553278267383575,0.9596774193548387,0.9580999565736409,0.9535287120287121
