epoch,train_loss,eval_loss,eval_accuracy,learning_rate
5.0,3.4534166666666666,3.419468641281128,0.501466275659824,4.450877192982456e-05
10.0,1.0867705882352943,0.9928590655326843,0.8570381231671554,3.953801169590644e-05
15.0,0.3917388888888889,0.43920472264289856,0.9208211143695014,3.450877192982456e-05
20.0,0.1888235294117647,0.30426284670829773,0.9296187683284457,2.9538011695906438e-05
25.0,0.11302777777777778,0.25097787380218506,0.9391495601173021,2.4508771929824562e-05
30.0,0.07778823529411764,0.23275382816791534,0.9413489736070382,1.9538011695906432e-05
35.0,0.05563888888888889,0.2280506193637848,0.9398826979472141,1.4508771929824563e-05
40.0,0.0481764705882353,0.22282488644123077,0.9428152492668622,9.538011695906433e-06
45.0,0.04395,0.21455566585063934,0.9413489736070382,4.508771929824561e-06
50.0,0.04165555555555556,0.22293448448181152,0.9398826979472141,5.84795321637427e-09
