epoch,train_loss,eval_loss,eval_accuracy,learning_rate
5.0,0.3992,0.4499781131744385,0.9574780058651027,0.0004450877192982456
10.0,0.09700588235294118,0.21686112880706787,0.9618768328445748,0.0003953801169590643
15.0,0.04456666666666667,0.1766638159751892,0.9604105571847508,0.00034508771929824564
20.0,0.03048235294117647,0.16519388556480408,0.9618768328445748,0.0002953801169590644
25.0,0.01746111111111111,0.15808118879795074,0.9611436950146628,0.0002450877192982456
30.0,0.015688235294117645,0.15940581262111664,0.9611436950146628,0.00019538011695906433
35.0,0.010727777777777777,0.1646471470594406,0.9611436950146628,0.00014508771929824563
40.0,0.009888235294117647,0.158539280295372,0.9618768328445748,9.538011695906433e-05
45.0,0.007277777777777778,0.1597374677658081,0.9611436950146628,4.508771929824562e-05
50.0,0.005433333333333333,0.15755967795848846,0.9618768328445748,5.847953216374269e-08
