epoch,eval_loss,eval_accuracy,eval_precision,eval_recall
5.0,0.8539609313011169,0.9406158357771262,0.9348687886187887,0.9376988381988383
10.0,0.22626416385173798,0.9640762463343109,0.9590509833303952,0.9618927091427092
15.0,0.17602886259555817,0.969208211143695,0.9649063436563438,0.9674802512302514
20.0,0.16335541009902954,0.9655425219941349,0.9617427610515847,0.9642723387723386
25.0,0.15962383151054382,0.967741935483871,0.9657633857370701,0.96563344988345
30.0,0.16062216460704803,0.9648093841642229,0.9602304454804456,0.9631799866799866
35.0,0.1562863290309906,0.9640762463343109,0.9610563233063234,0.9613655788655789
40.0,0.1530972719192505,0.9655425219941349,0.9618923946423947,0.9638049728049729
45.0,0.15470990538597107,0.9640762463343109,0.9594434862523099,0.9618444148444147
50.0,0.15505726635456085,0.9648093841642229,0.9621152034240269,0.9628153143153143
