epoch,eval_loss,eval_accuracy,eval_precision,eval_recall
5.0,0.1989608258008957,0.9450146627565983,0.9442525262262105,0.9434580234580234
10.0,0.17396792769432068,0.9604105571847508,0.961187876937877,0.9577092814592815
15.0,0.2088010013103485,0.9545454545454546,0.952742710992711,0.9559645724645724
20.0,0.17830099165439606,0.9618768328445748,0.9601253653753654,0.9574555999555999
25.0,0.170524463057518,0.9633431085043989,0.96114524473348,0.9602509342509343
30.0,0.17541810870170593,0.966275659824047,0.9655611860905979,0.9625353257853259
35.0,0.18675462901592255,0.9640762463343109,0.964276119305531,0.9611669534169536
40.0,0.18097136914730072,0.9648093841642229,0.9608532736326855,0.9604308284308284
45.0,0.17739459872245789,0.966275659824047,0.9645229188023305,0.9626711621711621
50.0,0.17996889352798462,0.966275659824047,0.9651765984560101,0.9625179635179635
