epoch,train_loss,eval_loss,eval_accuracy,learning_rate
5.0,0.3917888888888889,0.4312454164028168,0.9582111436950147,0.0004450877192982456
10.0,0.0954,0.21080169081687927,0.9633431085043989,0.0003953801169590643
15.0,0.045205555555555554,0.17347341775894165,0.9626099706744868,0.00034508771929824564
20.0,0.03074705882352941,0.16681906580924988,0.9618768328445748,0.0002953801169590644
25.0,0.017705555555555554,0.15919317305088043,0.9640762463343109,0.0002450877192982456
30.0,0.01590588235294118,0.16178826987743378,0.9611436950146628,0.00019538011695906433
35.0,0.010805555555555556,0.17151935398578644,0.9574780058651027,0.00014508771929824563
40.0,0.01,0.16386039555072784,0.9574780058651027,9.538011695906433e-05
45.0,0.007922222222222223,0.16606999933719635,0.9582111436950147,4.508771929824562e-05
50.0,0.005844444444444444,0.16553278267383575,0.9596774193548387,5.847953216374269e-08
